City,Year_68,Year_72,,
N.Y., 	0.42 , 	0.45 ,,
L.A., 	0.50 , 	0.50 ,,
Chicago, 	0.52 , 	0.52 ,,
Philadelphia, 	0.45 , 	0.45 ,,
Detroit, 	0.43 , 	0.46 ,,
San Francisco, 	0.55 , 	0.55 ,,
Boston, 	0.45 , 	0.60 ,,
Pitt., 	0.34 , 	0.49 ,,
St. Louis, 	0.45 , 	0.35 ,,
Connecticut, 	0.54 , 	0.55 ,,
"Wash., D.C.", 	0.42 , 	0.52 ,,
Cinn., 	0.51 , 	0.53 ,,
Baltimore, 	0.49 , 	0.57 ,,
Newark, 	0.54 , 	0.53 ,,
Minn/St. Paul, 	0.50 , 	0.59 ,,
Buffalo, 	0.58 , 	0.64 ,,
Houston, 	0.49 , 	0.50 ,,
Patterson, 	0.56 , 	0.57 ,,
Dallas, 	0.63 , 	0.64 ,,